average_interest,average_interest_per_cell,volatility,algorithm,drones_amount,folder
0.0,0.0,0.0,,0.0,
11384797.152549984,2110.64092557471,2351807.769212191,,,results/Greedy/dronesAmount=8;cellSize=10;2024-11-18 12:22:07
